date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Oct 25 2019 14:18:18 GMT-0400 (Eastern Daylight Time),,"Chicago, IL",Current Employee ,Junior Trader,I have been working at AKUNA CAPITAL full-time for less than a year,0,The working atmosphere is encouraging and compelling,Working schedule is a bit stressful,,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,
Sat Aug 24 2019 07:00:26 GMT-0400 (Eastern Daylight Time), Junior Trader,"Chicago, IL",Current Employee ,True place for Learning and Growth,I have been working at AKUNA CAPITAL full-time for less than a year,0,Get every opportunity to learn possible.,No job security at all.,,4.0,2.0,4.0,4.0,3.0,3.0,Recommends,Neutral Outlook,
Mon Aug 19 2019 14:24:09 GMT-0400 (Eastern Daylight Time), Quantitative Developer,"Boston, MA",Current Employee ,They treat their staff like complete dirt.,I have been working at AKUNA CAPITAL full-time for more than a year,7,There isn't really one. Avoid at all costs,"Nepotism at the CEO level, zero management transparency.",,1.0,2.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,
Tue Jun 11 2019 11:14:15 GMT-0400 (Eastern Daylight Time), Anonymous,"Chicago, IL",Current Employee ,Love working at Akuna!,I have been working at AKUNA CAPITAL full-time for more than 3 years,1,"Exciting work, great leadership, a lot of fun events outside the office and good work-life balance for the industry.",None that I can think of at this time,,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Wed Jan 23 2019 23:30:55 GMT-0500 (Eastern Standard Time),,,Current Employee ,Interesting company,I have been working at AKUNA CAPITAL full-time,1,"In Chicago, I enjoy the city",not much room for growth,,5.0,,,,,,,,
Fri Jan 25 2019 18:50:27 GMT-0500 (Eastern Standard Time), Trader,,Former Employee ,"Overall, I enjoyed my time there.",I worked at AKUNA CAPITAL full-time,0,Really nice people. I made a lot of friends.,"Hard to move up, but the money is enough.",,4.0,,,,,,,,
Sat Feb 02 2019 10:58:44 GMT-0500 (Eastern Standard Time),,,Software Developer ,Short-term Growth,I worked at AKUNA CAPITAL,2,Some good people. Decent place to learn development given minimal prior software development experience.,Growth ceiling hits after a while. Project scales are small. Depending on team development work might be uninteresting.,,3.0,2.0,2.0,3.0,4.0,3.0,Neutral Outlook,,
Tue Jan 22 2019 06:28:30 GMT-0500 (Eastern Standard Time),,,Current Employee ,Extremely poor management,I have been working at AKUNA CAPITAL full-time,8,"Company trips, monthly happy hours, daily snacks",Very poor management. Feels like high school,,2.0,2.0,3.0,2.0,3.0,1.0,Doesn't Recommend,,
Thu Dec 27 2018 08:49:26 GMT-0500 (Eastern Standard Time), Junior Software Developer,"Chicago, IL",Former Employee ,Chaotic internal process and no assurance of career stability,I worked at AKUNA CAPITAL full-time for less than a year,17,"Some smart people, average pay in MKT",It is still a start-up company style without structured process. You will often need to figure out ambiguity. The HR globally is manipulated by top management team. The case occur that extending you the offer and they regret and withdraw the offer which is very ridiculous.,,1.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Thu Nov 22 2018 17:32:35 GMT-0500 (Eastern Standard Time), Junior Trader,"Chicago, IL",Current Employee ,Growth Company,I have been working at AKUNA CAPITAL full-time for less than a year,2,"The company is making enough money to go around. They provide a 3-month training program for Junior Traders. They’re looking to expand, and it seems meritocratic.",There aren’t too many cons.,,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Fri Aug 31 2018 13:08:38 GMT-0400 (Eastern Daylight Time), Trader,"Chicago, IL",Former Employee ,Akuna Capital Review,I worked at AKUNA CAPITAL full-time for more than a year,1,"Fast pace, lots to learn",Not much to mention here,,4.0,,,,,,,,
